legislator_id,text
3,Another example of why I miss W in the WH: "@thehill: George W. Bush consoles 'another 43' http://t.co/ggXZjvBMDh by @RebeccaShabad" #RTR
3,RT @michellewc: @Robert_Aderholt    Thank you for a great #JDRFPromise Meeting! http://t.co/W2ZlwN78MZ
3,#SEC=War Eagle! "@SportsCenter: Saban said SEC Champion Auburn should play for Natl Championship on @CollegeGameDay. http://t.co/6gvIevg9Vi"
3,December 7th: a day that will live in infamy. We have much to live up to as a nation thanks to the Greatest Generation.
3,As prisoner or president Nelson Mandela was not afraid to shine as a light of courage and conviction #RememberingMandela
6,Lets extend unemployment benefits 2 keep American families going while our economy continues to recover &amp; jobs return
http://t.co/GOslHu0bb5
6,#GOP spent 6 weeks rooting for failure.Dems worked &amp; improved the #ACA website so more Americans could get healthcare http://t.co/xlhhuElJih
6,Congratulations to #Hawaii on becoming the 15th state to recognize #MarriageEquality.   http://t.co/ZLCrOdG3pt
6,Senate passed #ENDA yesterday protecting #LGBT in the workplace, but house GOP refuses to take it up.Lets have a vote http://t.co/ZvA5yVgKiX
6,The #GOPshutdown is over,but the GOP’s stunt cost the American people $24B.Let's end the hostage taking in Washington http://t.co/AKmqzNIS67
6,This #GOP needs to use common sense before their manufactured crises takes the American economy over the edge. http://t.co/TAUgg7fjMH
6,This #GOPshutdown has gone on long enough! Holding the U.S. economy hostage isn't a way to get things done. http://t.co/vQleNYEYot
6,#GOP playing chicken with our struggling economy is lunacy.  Let's not let radicals dictate policy #GOPshutdown http://t.co/IrUDnJhWh5
6,NJ ruling that same-sex couples must be allowed to marry is another step in the right direction for NJ &amp; the U.S.
http://t.co/cqUjfEzsAW
6,Ted Cruz stood for 21 hrs to end affordable healthcare. Contribute here to stand up for the middle class: https://t.co/Byn6T5kdxK
6,The people don't want a gov shutdown. Let's tell the #GOP not to play roulette w/ the full faith &amp; credit of the US

http://t.co/KtjKkjyixZ
8,Polls just closed! Thank you so much for your support! Who's ready to see the results come in and Missouri go RED? #MOSen #WinMOSen
8,Only one more hour! Let your voice be heard and go vote now! #WinMOSen #MOSen
8,Only a couple more hours until polls close! RT if you've voted @ToddAkin for U.S. Senate! #WinMOSen #MOSen http://t.co/gtAGU3GG
8,Thank you! RT @MoScarlet: I just voted for @ToddAkin #MOSEN #Election2012
8,Thank you! #mosen RT @addisontodd: Get out and vote for @ToddAkin in #MOSen.
8,Thank you! #mosen RT @Boldly_Question: I voted today for @MittRomney &amp; @ToddAkin . Mission accomplished. #tcot http://t.co/m5Mix4lo
8,Thank you! #mosen RT @popotot: I voted today! @MittRomney @ToddAkin @SpenceforMo
8,Have you voted already? RT if you voted @ToddAkin for Senate today! #MOSen #WinMOSen http://t.co/rmZVShcf
8,Casting my ballot this morning. Democracy is an amazing thing...must all do our part to protect it! #MOSEN http://t.co/yrvjaCbn
8,Have you had enough? RT if you're voting for a leader who will stop the reckless spending in Washington! #MOSen http://t.co/pQbkHxcD
8,http://t.co/sM33wUhH
9,VIDEO: Saturday, Alexander played “Amazing Grace” at the Faithful Men’s Banquet at @TheCrownCollege in #Powell, Tenn http://t.co/gb17gWilLG
9,Visiting w/ Dr. Ben Carson and Pastor Clarence Sexton at Faithful Men's Meeting in Powell, #Tennessee @RealBenCarson http://t.co/3iQ8A4jg9U
9,Alexander at @TNWesleyan talking #job growth &amp; importance of local decision-making w/ Athens Kiwanis Club http://t.co/AJSgtNPrTh
9,Alexander joined @McConnellPress effort to block #EPA regs that will “effectively ban new #coal plants” http://t.co/N9kwaf3c6c
9,Today the #House passed Alexander’s legislation requiring weekly reports on the #Obamacare exchanges: http://t.co/YDU1JtUloj
9,In @Tennessean:“Tennesseans didn’t send me to #DC to rubber-stamp #Reid’s ideas …They expect me 2 have a say 4 them.” http://t.co/HKJuEA8FRD
9,RT @StewSays: U.S. #Senate dissolving into one-man show http://t.co/iABJGQTx5d  (Via @SenAlexander, @Tennessean)
9,RT @SenBobCorker: To learn more about Tennessee Tuesday, a constituent breakfast Senator Corker hosts with @SenAlexander, visit: http://t.c…
9,VIDEO: Alexander: “Senate has become a Tuesday - Thursday club, run by 1 senator &amp; orchestrated by the #WhiteHouse” http://t.co/yLQfKHoFa4
9,ICYMI: Alexander op-ed in @POLITICOMag: Under Reid “#Senate has become a 1 man show, orchestrated by the #WhiteHouse” http://t.co/bD4pP8r13C
9,“The debate for #2014 really is: Will this year be the end of the United States #Senate?” #EndoftheSenate Video: http://t.co/4y2qXv8LMj
14,We're blessed to live in our great country. Thanks to those who protect our freedom. Wishing your family a safe and happy #Thanksgiving Day!
14,Thank you Veterans and active military. We remember those who made the ultimate sacrifice for our freedom. God Bless America! #Veterans Day
14,Remember in your prayers 3 teens killed &amp; 3 injured in a #Bellbrook car accident and their families. We all grieve over such a tragic loss.
14,Election Day - Finally! Make sure you take the time to VOTE. Our nation's future is at stake!  Ohio polls open at 6:30am until 7:30pm. #Vote
14,A special thanks to all Ohioans responding to relief efforts of superstorm Sandy - Ohio Task Force One, Ohio National Guard. #Sandy, #Ohio
14,Unemployment rate moved up to 7.9% in October from 7.8% percent in September. It's time to get Americans back to work. #Unemployment, #Jobs
14,Exercise your right to vote. Four days to the election.  Early voting is happening now in Ohio. #Election, #Vote
14,As cleanup begins our prayers go out to the victims of Sandy. Now is the time to come together and help in the aftermath. #Sandy, #Hurricane
14,As many face severe weather, now is the time for our nation to come together and help each other.  Prayers to all.
14,September is Suicide Prevention Month.  Military and veterans must have the resources &amp; available treatment for those at risk. # PTSD #TBI
14,Honoring our men and women serving in the US Air Force for 65 years of outstanding service...We salute you! #HappyBirthdayUSAF!
15,I'll be back in D.C. Wed testifying before the Senate Judiciary Committee about the 2nd Amdt and my work as a Dep Sheriff and a legislator.
15,With Hurricane Sandy projected to hit Florida, this information is timely and could help you and your family prepare. http://t.co/Y4oB6ann
15,Here's the video from yesterday's hearing on Libya. http://t.co/c5UL4Y0O.
15,I will be at today's hearing about Benghazi.  If you have questions you'd like for me to add to my list, please tweet them to me.
15,http://t.co/E3cIqP1F - Horrible attacks in Libya and Egypt should be condemned by all freedom loving people.
15,An update on my efforts to highlight the outrageous conference spending by MEP. A new Commerce IG investigation. http://t.co/ncsSn0mU
15,Today is a day of remembrance of the thousands of lives lost on 9/11, and a reminder of the challenges we face in an ever changing world.
15,RIP Neil Armstrong. A hero for millions, you and Buzz Aldrin showed we could beat the Soviets and take that great step for mankind.
15,Today is Purple Heart day, where we honor those soldiers wounded or killed in defense of our nation. Thank you to all those who have served.
15,Great debate on the future of the US Space program. http://t.co/EqXxQfGb. Esp on the heels of successful Curiosity landing.  Congrats NASA!
15,I voted tonight to keep taxes low for all Americans and stop a tax hikes, also to put sanctions on Iran to halt their nuclear ambitions.
16,RT @jordanwbush: Great conversation tonight at @repjustinamash town hall at GR Prep Academy. http://t.co/FbKGMDy3um
16,RT @HouseJudiciary: Read Chairman @RepGoodlatte's statement on #PCLOB's report on intelligence-gathering programs: http://t.co/6hUwX1ilT7. …
16,End this program now. RT @washingtonpost: Independent review brd says #NSA phone data program is illegal &amp; should end http://t.co/ZTQUVNRveX
16,RT @bcenquirer: In town hall event, @repjustinamash calls for bipartisan support on NSA http://t.co/WROZ1ENpZG #AmashTownHall
16,RT @am_fitzpatrick: .@repjustinamash: some #NSA data collection rests on 1970s case not relevant to today. #AmashTownHall
16,RT @jenn_bowman: @repjustinamash: Both parties agreeing to spend recklessly is not compromise. "That's doing nothing," he says
16,RT @jordanwbush: Great turnout tonight in Battle Creek for @repjustinamash town hall! http://t.co/eOv9G9GHRC
16,It is unconscionable for government to sanction the taking of helpless and innocent life. http://t.co/Q9pivS6j3P #prolife
16,RT @jordanwbush: .@repjustinamash touring the currently renovated VA Medical Clinic in Battle Creek. http://t.co/dJ04LXO2I9
16,RT @jordanwbush: Thanks to Lakeview High School for hosting @repjustinamash Wednesday. Beautiful campus and great staff.
16,RT @jenn_bowman: @repjustinamash will host a town hall in #BattleCreek on Wednesday: http://t.co/oE6rnW26dP http://t.co/Ej2xlncpMN
18,“The ultimate tragedy is not the oppression and cruelty by the bad people but the silence over that by the good people.” #MLKDay
18,Congratulations to @UNRExtension for @BLMNational Partners in Conservation honor -- one of only three winners! http://t.co/1Ex6NcftkG
18,Congratulations to my friend @RepJoeHeck on being named Chairman of @HASCRepublicans Subcommittee on Oversight and Investigations
18,Participate in my poll of the week: https://t.co/6vNMSg603l http://t.co/vs8PMqSkOr
18,Last year we were able to return $172,143.52 to the Treasury. Since my election in Sept. 2011, I have returned approximately $370,000
18,It represents nearly 8% of my budget for 2013. This is on top of $167,080 cut to my budget from sequester.
18,Happy to announce I will return approx $104,000 in unspent office funds to Treasury for deficit reduction http://t.co/Ur7bPr0cPa
18,Happy New Year -- here's to a prosperous #2014 for Nevadans and all Americans
18,Merry Christmas to all, especially our troops who can't be with their families today
18,Talking wildland, all-risk, aircraft and logistical support today at the #Elko Interagency Dispatch Center http://t.co/3zKtHjuwPc
18,Thank you #PershingCounty Commission for letting me join you today in Lovelock, home of the Mustangs http://t.co/QJkWn5AWpI
19,The No Taxpayer Funding for Abortion Act was passed by the House Judiciary Committee today with my support http://t.co/Ng8wdpQNKa
19,Spoke out against CFPB regulatory overreach that could deny people the chance to get a home loan http://t.co/CnUPwlF3ar
19,Voted today to protect security of personal information on Obamacare exchanges, but my goal remains repeal and replace.
19,Congratulations to Bradley Byrne, sworn in today as the new Congressman for the First District http://t.co/F73rFCTJzZ
19,Had a good meeting at Kaiser Aircraft this week to discuss preserving jobs and bringing more aerospace work to Birmingham
19,Was pleased to recognize the outstanding physical rehabilitation and sports therapy programs at the Lakeshore Foundation today
19,Inspiring student artwork for the 2013 Holiday Card Call for Art, read details here.
http://t.co/0KieSHnzOU
19,Just sponsored a bill to protect volunteer fire departments from being hit by costly Obamacare mandate http://t.co/WGo8AkQDnq
19,Alabama delegation is working to bring more aerospace jobs to our state http://t.co/BDMzSppKk2
19,The website "fixes" announced this week do not solve the fundamental flaws with Obamacare http://t.co/fCRJJzhgt7
19,House passed Innovation Act today to help entrepreneurs turn their ideas into new businesses and jobs http://t.co/kFzBRU3Mvk
22,Kicking off #Instagram acct w/ classic #TBT pic!#Texas #GOP Delegation back in 1988. Recognize members? http://t.co/PILSNXKFOQ #txcot #txgop
22,Tweet us what you think! Should #Congress raise the #debt limit? http://t.co/AohZdy1jxR #txgop #txcot #dfw #texas #tcot #teaparty
22,"I've noticed that everyone who is for #abortion is already born" --Ronald Reagan. In #Texas,but praying for those at #MarchforLife #prolife
22,"I still don't believe this gets to root of problem." Click for more of my reax to #Obama's #NSA proposal http://t.co/ZcBCwAlHzD #txgop #dfw
22,REALLY?!?!? Democratic Senator: "We've never discussed plans to fix #Obamacare"  http://t.co/8rUHgB4xWW #txcot #txgop #dfw #teaparty #tcot
22,Great to meet you! RT @IndianEmbassyUS Ambassador Dr. S. Jaishankar w/@RepJoeBarton, Chair Emeritus of @HouseCommerce http://t.co/IsMDD0Ba6z
22,Rep. Barton voted NO on trillion $ spending bill...Click to find out why: http://t.co/OHuyR8QFIY #txgop #txcot #dfw #tcot #teaparty
22,Nearly 347,000 Americans left labor force in December http://t.co/GHioatMAhJ Solutions- http://t.co/xEXM6d7bPr #jobs #txcot #txgop #dfw
22,House to vote this week on Exchange Information Disclosure Act demanding #transparency from admin: http://t.co/BUWBL5MqVi #OpenExchanges
22,A computer glitch affected our tour reservation system between noon Friday and 5pm on Monday. Click to re-schedule: https://t.co/PdzawWVJuG
22,BREAKING NEWS:Authorities in Ellis Co. issued an Amber Alert for 16 year old girl they believe to be in danger. More: http://t.co/dEF4legfQT
23,RT @UnionLeader: NH reps still seek to skirt the 'fiscal cliff' ... http://t.co/aVxUeN6Y
23,RT @NHEC_OUTAGE: So far so good as Nor'easter moves in. 11 members out. Live outage status here: http://t.co/XEZgM4Sa
23,RT @psnh: Please call to report an outage or limb on the lines @ 1-800-662-7764 or   http://t.co/SE4hHQtA   Thank you.
23,RT @Unitil: We're monitoring the storm. To report your outage call:  MA 888-301-7700, NH Capital 800-852-3339, NH Seacoast 800-582-7276.
23,RT @RepSteveChabot: Merry Christmas and Happy New Year! As we enjoy the holidays, let's remember the men and women in uniform who can't  ...
23,RT @KellyAyotte: WMUR/Channel 9 weather predicting that we could see snow in NH on Christmas Day!
23,Be safe on the roads today!
23,RT @WMUR9_Weather: Whoa...the top of the state (Pittsburg NH) reporting 13.3" of snow...and nearly a foot now in Colebrook. Very impress ...
23,I join the people of NH in keeping the CT victims &amp; their families in our prayers. We hope they begin to find peace in days &amp; weeks ahead.
23,Today we remember the brave men + women who died 71 yrs ago at #PearlHarbor when our nation was put to the ultimate test.
23,RT @WNTK997: Don't forget to shop local today.  It is small business Saturday.  The backbones of our communities.
25,Thanks to @LACIncubator for showing me the outstanding work they do to help startups thrive. #dtla #cleantech http://t.co/5dOXEGUvgw
25,RT @CalStateLA: Congressman Becerra next meets with ASI student leaders about affordable healthcare and other student concerns. http://t.co…
25,Great to see my friend @SEIU_Eliseo standing tall and ready to fight for #ImmigrationReform. Let's get this done! http://t.co/j0EYWkZtVC
25,I'm calling into the @WeGotEd radio show at 11:30am ET to discuss the need to #RenewUI and help American workers get back to work.
25,With Pres. Obama and @ericgarcetti announcing LA’s Promise Zone that will revitalize communities. Live at 2:20 pm ET http://t.co/ZQAPIu0dqR
25,ICYMI: My Op-ed in @usatoday -- Immigrants deserve path to citizenship: http://t.co/QbvNh5nvJN #timeisnow #immigrationreform
25,The #ACA is opening doors for 41 million uninsured Americans—5.5 million in California—to quality health coverage: http://t.co/X4TmCWUAGs
25,My hope is that this vote today closes chapter on shutdown politics, opens the door to a new Congress #budget http://t.co/lHMcZe4MUK
25,I’ll be on @Crossfire at 3:30 pm PT/6:30 pm ET to discuss the federal budget and why we must strengthen the middle class.
25,I'm at @CalStateLA for @nationaljournal town hall on how millennials are changing the face of America. Watch live: http://t.co/1aNnUS4FpU
25,The #ACA means better coverage and lower costs. Consumers have saved $5 billion over the past two years. http://t.co/BD3DHWdHsx
27,RT @HFACDemocrats: @RepHowardBerman Unveils Landmark Foreign Assistance Reform Legislation http://t.co/03uGkiE8
27,I am horrified by the murder of the US ambassador to #Libya &amp; 3 U.S. officials. Absolutely nothing justifies this despicable act.
27,At 14th Annual Ovarian Cancer Walk/Run in Studio City. Great morning raising awareness for #ovariancancer. http://t.co/JRR8uCET
27,RT @richardsimon11: Helicopters must follow new noise rules over Long Island http://t.co/Ullpbkas
27,Here is a rundown of new proposed mortgage rules by @CFPB to help current &amp; potential homeowners stay in their homes: http://t.co/B5kU8hbl
27,To the 34 Bruins competing in the #Olympics #London2012, bring home the gold! #UCLA #Go4Gold
27,RT @SenatorBoxer: Today I joined @BarackObama and @RepHowardBerman at the @whitehouse for the signing of my U.S.-Israel security bill #F ...
27,It's #JustOneMinute http://t.co/4MBairIl
27,Been an honor working with you over last 40 years RT @DoloresHuerta: A gracious tribute from Congressman Howard Berman. http://t.co/HuQs1H4o
27,This job-creating @metrolosangeles project can now go from drawing board to reality. @LADailyNews http://t.co/SxRkKG2a
27,RT @HFACDemocrats: @RepHowardBerman: By vetoing sanctions on Syrian regime, Russia &amp; China have firmly attached themselves to sinkin ...
30,Honored to receive Science Coalition's "Champion of Science" award. Look fwd to working w/org to advance public health and renewable fuels.
30,Bri &amp; I at Bruce Gorder UCSD 5K walk for melanoma. This walk raises funds for Moores Cancer Ctr $1.1 mill to date. Great turnout.
30,Asked by the bipartisan org "No Labels" to serve as go-to legislator. Happy to help fulfill mission. http://t.co/yJoaJlP1
30,@jadzima That is incorrect. Voted for repeal of Affordable Care Act.
30,News reporting that 1 of 4 killed in attack on the US consulate in Benghazi was a SD resident.  Thoughts and prayer go out his family.
30,Honored to receive the Guardian of Small Business award from the Nat Federation of Independent Business.  Small business important to SD.
30,Had a good mtg w/Matt Snyder of Local 542 Teamsters to expand transportation jobs. Agree that more private investment is good for jobs.
30,@ SD Regional Chamber event to discuss improving SD business climate. 95% of SD businenesses are small businesses. Important to SD!
30,Watch this video that shares our family’s battle with skin cancer. http://t.co/5CzNamaE #SPOTSkinCancer
30,Prez latest backdoor amnesty announcement will only increase illegal immigration. Mixed message undermines rule of law.
30,House just unanimously passed FDA Reform Act. Bill will promote innovative patient care and create much needed jobs. Win-win.
32,Students of ages 12-17 can apply to @FEMA’s Youth Preparedness Council, a unique opportunity for youth leaders http://t.co/12LlFAMkEx
32,Congrats Prof. Tom Ellington of Wesleyan College on being selected by the @FulbrightPrgrm to teach American politics in Seoul, South Korea!
32,So proud that @Aflac made @FortuneMagazine's list of “100 Best Companies to Work For” for the 16th year in a row! http://t.co/XYACY3J4fJ
32,Congrats @FulbrightPrgrm scholars - Macon native Alan King of @georgiatech &amp; Columbus native Dr. Vladimir Zanev of @ColumbusState!
32,About to take to the floor of the US House to speak about funding government, MilCon/VA. Tune in here: http://t.co/7bI85mJFzt #Veterans
32,RT @AppropsDems: Appropriations Committee unveils FY2014 government funding bill: view details here
http://t.co/Ab9ypw1j0H
32,RT @DeptVetAffairs: Veteran Unemployment Continues to Decline, Lowest Rate in Five Years http://t.co/0Zgfvg85T5
32,I was honored to speak at Miller-Motte Technical College’s Fall Commencement. Congrats to all the graduates! http://t.co/iUwzgrmGV4
32,Thrilled that Jerome Tucker has been appointed Chairman of the @usdafsa State Committee of #GA! http://t.co/Ojgo9GGPTv #agriculture #agchat
32,So proud of our @GeorgiaGuard troops who participated in Warpath III! http://t.co/wcY8WH7ge8
32,On Wednesday 11am-7pm, Central GA Health System will hold an enrollment session to help you sign up for #healthcare http://t.co/bL3Q9tjlWr
33,RT @NathanGilles: My story on the Iraqi and Afghan immigration programs for interpreters in @StreetRoots with @repblumenauer http://t.co/MP…
33,New Oregon County-By-County Breakdown Shows the Harm of Not Extending Unemployment Insurance http://t.co/emk7XZ21ee
33,Blumenauer: Budget Compromise a D+, Congress Must Face Realities http://t.co/Q6EkibArUf
33,Blumenauer: Give Diplomacy with Iran a Chance [VIDEO] http://t.co/dhcGKpTNxG
33,Keep Farm Bill Loopholes Closed! http://t.co/FHXHHXWfmV
33,RT @StudentCam: @RepBlumenauer at Beverly Cleary Middle School answering student questions for their StudentCam documentaries http://t.co/U…
33,RT @yasminradjy: great speech on #iran &amp; against #sanctions by @repblumenauer on house floor today - https://t.co/AyjS90Nq73
33,RT @Mr_Rindler: @RepRonKind @rosadelauro @repblumenauer request GAO report on farm insurance subsidies going to wealthiest Americans: http:…
33,Blumenauer Urges Diplomacy with Iran, Not More Sanctions http://t.co/LxgS7Wvup1
33,RT @PortlandPHLUSH: TODAY! @repblumenauer leads Int' Water Forum http://t.co/f2MBgojFZs @mercycorps  @actioncenterpdx 5 pm tabling w @grnem…
33,@Kian777 Please see Rep. Blumenauer's statement on HR 992  http://t.co/fs8nw8J7B5
34,Looking fwd to visiting with the St. Charles Chamber of Commerce this evening to talk abt ways we can jumpstart job creation.
34,I'll be live in-studio with @MarkReardonKMOX today around 3:20pm CT. Tune in or listen online: http://t.co/5Fab46fLJt
34,Had a great time speaking to the Parents as Teachers 30th Anniversary Lunch today in STL cc: @NatlPAT
34,It was great to see so many Missourians at this morning’s #MarchforLife in Washington. #whywemarch http://t.co/e1iVVrzU6P
34,.@SJNPNewton at @NewsPressNow reported on my visit to St. Joseph today as I fight to help fund child advocacy centers http://t.co/Ofi6cgeY8H
34,Heading to the Child Protection Center in Kansas City to talk about the ways we can better protect our children from abuse. cc: @cpckc_org
34,MO has 22 Child Advocacy Centers serving approx 7,000 of our state’s most vulnerable children each year. Learn more: http://t.co/1ETZd5xhtW
34,Visiting the NWMO Children’s Advocacy Center in St. Joseph today to discuss why we must reauthorize the Victims Of Child Abuse Act.
34,Looking forward to joining @SteveKraske live on @KCURNews at 11am CT today. Tune in or listen live: http://t.co/2HETLYjbKU
34,Remembering Dr. King's life &amp; legacy as we mark #MLKDay.
34,Glad to intro a bipartisan bill w/Sen Bennet to help jumpstart job creation by encouraging US infrastructure projects http://t.co/kvuDLMdjds
35,RT @JayLeno: TONIGHT: Matt LeBlanc, @SpeakerBoehner and music from our very own @thedorianholley! #TonightShow
35,As Chair of @HouseGOP &amp; most importantly, a mom…@CathyMcMorris set to deliver #GOP Address. VIDEO: http://t.co/uGA0gWsZrB
35,Meet @CathyMcMorris. She'll be delivering the #GOP Address to the Nation following #SOTU on Tuesday. VIDEO: http://t.co/SBRDTiyyEg
35,Just announced: Rep. @CathyMcMorris Rodgers will deliver #GOP address following #SOTU http://t.co/uGA0gWsZrB
35,MT @GOPLeader: Here's video of my speech from the #MarchForLife: http://t.co/vEmzIdXxB9 #WhyWeMarch
35,Hey @RobLowe, going on #TonightShow w/ @jayleno. Any advice?
35,Survey: “#Obamacare a top worry for midsized firms” http://t.co/JYYvdUxUos “potentially causing a slowdown in hiring” @capitolreport
35,From @JonahNRO: “barely 1 in 10 of new #Obamacare enrollees were previously uninsured” http://t.co/qeskhnfIVH #trainwreck
35,#OTD in 1973, the House held its first electronic vote http://t.co/cPchwqB0td @USHouseHistory
35,POTUS’s effort on #TPA4USJobs bill will show whether “year of action” is sincere or just a slogan http://t.co/1VaqA5hody
35,If the president wants a “year of action,” he must endorse #TPA4USJobs legislation in the #SOTU http://t.co/1VaqA5hody
37,I have decided to endorse and fully Spt Bruce Braley for US Senate. He is smart, ready, and will work hard for ALL of us!
37,Watched the inauguration from the farm in IA. Mixed feelings to not be there! Feeling lots of pride AND hope for our Country. God bless Am!!
37,Back in DC to finIsh. Hope remains eternal as I hope to come to a resolution..and do best poss for our Country. Happy New Year to ALL
37,Dody &amp; I have arrived in Denver for Christmas. Thanks to all of you for years of encouragement and support! Happy Holidays..and many more 🌲
37,Congrats to David Heusinkveld's top of the fold in today's DSM Reg in IowaLife section!! Great Photography. He also has a Great Photo book.
37,We must continue working to get Americans back to work that means passing a Farm Bill, PTC and jobs legis. http://t.co/k29gJN0s
37,Thank you @ConcordC for honoring me as part of the “brave 38” who voted for bipartisan deficit reduction.#EconPatriots http://t.co/iQDgio0i
37,I continued efforts to bring a vote on the Farm Bill and renewal of wind production tax credit. VIDEO: http://t.co/SKE0vxd8
37,Honored to receive the "Fueling Growth" award for the second year in a row from @GrowthEnergy. #ethanol http://t.co/pnNcsfiM
37,Today we remember and honor sacrifice. Sharing my thoughts on 9/11: http://t.co/ggLKlDA8
37,Thanks to Google and @IowaStateFair for allowing me to share my fair memories! http://t.co/SmK7449T
39,.@GovMikeHuckabee says there’s no GOP War on Women, then opens a new front by talking about controlling women’s "libidos."
39,Respect women’s health. Support Roe v. Wade. #Roe41
39,I've introduced legislation to ensure all Americans can vote without hours-long waits at polling places. http://t.co/5aRK6DTirn
39,Bipartisan elections panel: shorten lines and expand early voting. We should make these changes in time for 2014. http://t.co/lUWf1LNSaB
39,RT @EPWChairBoxer: Boxer &amp; colleagues mark start of #Crenshaw light-rail project (photo via @laura_nelson) http://t.co/tn3jdysykp
39,We must strike the right balance among privacy, security and liberty and today the President has taken steps to do just that.
39,Another day, another GOP attack that ignores the 9 million Americans who have new coverage since #Obamacare enacted: http://t.co/XzquEvnRZW
39,I introduced the Women, Peace &amp; Security Act w/@SenatorKirk to ensure women are full partners in peace negotiations http://t.co/6FMx6xL03I
39,George is the best of the best – always fighting for children and their families. http://t.co/nhwkUgsxo3
39,My mother always told me that good health is everything. Make affordable health care part of your life: http://t.co/WrWrkCLZbL #Momknowsbest
39,RT @SenGillibrand: Make sure your adult kids join the millions of Americans with affordable health coverage at http://t.co/rJyLTZVTkf #MomK…
41,Must read//Benghazi and the Smearing of Chris Stevens: Shifting blame to our dead ambassador is wrong on the facts. http://t.co/SX1tzHkN1Q
41,It was great to see old friends at the groundbreaking for Monterrey Mushroom. http://t.co/6fBVIrohfF
41,RT @JonahNRO: So, what was the point of Obamacare again? http://t.co/GrCWcaHqaJ
41,Taking questions at the Mid-South Synergy town hall. http://t.co/c7pkIkirw3
41,I enjoyed speaking to the April Sound Men's Breakfast this morning. Great questions! http://t.co/Z7Ic4400f2
41,Moody’s downgrades health insurers, citing Obamacare -
Warns of ‘unstable and evolving regulatory environment’ http://t.co/ZpByi8286i
41,Time for the President to approve the rest of it./Keystone XL southern leg launches as safest pipeline ever, CEO says http://t.co/nP0eXzd0mN
41,Access to health care insurance ≠ access to health care/CA Woman Can’t Find a Doctor After Signing Up for Obamacare http://t.co/jhhfhmVXGm
41,Time for a field trip to Austin!// Texas State History Museum to host Battleship TEXAS Exhibit http://t.co/YWfh3P8yWy
41,Excellent op-ed by @robportman on the necessity of protecting the most vulnerable among us/The March for Life Goes On http://t.co/c5NwNE8Khr
41,RT @GOPLeader: Here's video of my speech from earlier today at the #MarchForLife: http://t.co/xSh16ooIjT #WhyWeMarch
42,#MLK said: "Everyone can be great because everyone can serve.” Where will you serve this #MLKDay
42,Thank you Dr. King for committing your life to service and doing all you can to bend the arc of the moral universe towards justice.
42,#EITC can increase your tax refund as much as $6,000. Do you qualify? http://t.co/5MESSaHKD7 #taxes #tax #refund #IRS
42,Earn $51,567 or less last year? You may qualify for #EITC. Don't miss out, check it out at http://t.co/5MESSaHKD7 #IRS #taxes #refund
42,Congresswoman Corrine Brown Denounces Blockage of Unemployment Insurance Extension by Senate Republicans http://t.co/s1Em8SNe8H
42,Congresswoman Brown Strongly Supports Senate Vote on Unemployment Insurance:  Calls for Swift House Passage http://t.co/ylO5v0fNvg
42,Congresswoman Corrine Brown Announces Additional Option for Some Consumers with Canceled Plans http://t.co/acXngZcTlJ
42,Congresswoman Brown Tacitly Supports Budget Agreement - (Washington, DC) Regarding the Budget agreement, Congressw... http://t.co/OJmmqKXVcc
42,Congresswoman Brown Mourns Passing of President Nelson Mandela http://t.co/vgAfmRA9Ww
42,#Madiba your unwavering strengthen, presence and legacy will live on forever! http://t.co/HzjqYImwjT
